team_abbr,espn_id,full_name,conference,division
ARI,22,Arizona Cardinals,NFC,West
ATL,1,Atlanta Falcons,NFC,South
BAL,33,Baltimore Ravens,AFC,North
BUF,2,Buffalo Bills,AFC,East
CAR,29,Carolina Panthers,NFC,South
CHI,3,Chicago Bears,NFC,North
CIN,4,Cincinnati Bengals,AFC,North
CLE,5,Cleveland Browns,AFC,North
DAL,6,Dallas Cowboys,NFC,East
DEN,7,Denver Broncos,AFC,West
DET,8,Detroit Lions,NFC,North
GB,9,Green Bay Packers,NFC,North
HOU,34,Houston Texans,AFC,South
IND,11,Indianapolis Colts,AFC,South
JAX,30,Jacksonville Jaguars,AFC,South
KC,12,Kansas City Chiefs,AFC,West
LA,14,Los Angeles Rams,NFC,West
LAC,24,Los Angeles Chargers,AFC,West
LV,13,Las Vegas Raiders,AFC,West
MIA,15,Miami Dolphins,AFC,East
MIN,16,Minnesota Vikings,NFC,North
NE,17,New England Patriots,AFC,East
NO,18,New Orleans Saints,NFC,South
NYG,19,New York Giants,NFC,East
NYJ,20,New York Jets,AFC,East
PHI,21,Philadelphia Eagles,NFC,East
PIT,23,Pittsburgh Steelers,AFC,North
SEA,26,Seattle Seahawks,NFC,West
SF,25,San Francisco 49ers,NFC,West
TB,27,Tampa Bay Buccaneers,NFC,South
TEN,10,Tennessee Titans,AFC,South
WAS,28,Washington Commanders,NFC,East
